source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket,candidate_rank
حَوَض الإِنْسَان,7ood 2il2insaan,7ood 2il2insaan,True,16,15,10-19,10-19,1
دَلِب,dalib,dalab,False,5,5,0-9,0-9,4
شَهَى,shahhi,shahha,False,5,6,0-9,0-9,1
مْنَاطِق,manaatiq,manaatiq,True,8,8,0-9,0-9,5
أَكَبَّر,2akbar,2akbar,True,8,6,0-9,0-9,5
تَنَقُّى,tnaqqa,tnaqqa,True,8,6,0-9,0-9,2
أُغْنِيَاء,2aghniyaa2,2aghniyaa2,True,10,10,10-19,10-19,2
اُشْطُر,shaatir,2ushtur,False,7,7,0-9,0-9,3
يِتَنَافَر,yitnaafar,yitnaafar,True,10,9,10-19,0-9,5
ديك مْفَرْعَن,diik mfar3in,diik mfar3in,True,13,12,10-19,10-19,4
صَار,saar,saar,True,4,4,0-9,0-9,1
لَاعَس,laasi3,laa3is,False,6,6,0-9,0-9,4
مَتَعَالِي,muta3aali,muta3aali,True,10,9,10-19,0-9,4
اِنْفِلِج,2infalaj,2infilij,False,9,8,0-9,0-9,1
مُتَقَلِّب,mitqabbil,mitqallib,False,10,9,10-19,0-9,5
يُجْلُد,yjallid,yjallid,True,7,7,0-9,0-9,5
اِنْشِفي,2inshifi,2inshifi,True,8,8,0-9,0-9,3
يكِيل,ykayyal,ykayyil,False,5,7,0-9,0-9,2
اِنْزَعَج,2inza3aj,2inzi3ij,False,9,8,0-9,0-9,3
تْلَاخَيص,talaakhiis,talaakhiis,True,9,10,0-9,10-19,2
فَرَاوْلِيِّة,faraawlaaye,faraawlaaye,True,13,11,10-19,10-19,3
نُكَّتِة,nukte,nakte,False,8,5,0-9,0-9,5
بأمَن اله,bi2amaan 2illaa,bi2amaan 2illaa,True,9,15,0-9,10-19,3
أَسْنَان,2asnaan,2asnaan,True,8,7,0-9,0-9,1
يْعَرِّف,y3arrif,y3arrif,True,8,7,0-9,0-9,5
اِفْسُخ,2ifsakh,2ifsakh,True,7,7,0-9,0-9,4
كِبَارَة,kubbaara,kubbaara,True,8,8,0-9,0-9,5
تْفِعْوِص,tfa3was,tfa3was,True,9,7,0-9,0-9,2
نَاغِيرَة,naaghriyye,naaghriyye,True,9,10,0-9,10-19,4
سُمُن,samman,sammin,False,5,6,0-9,0-9,5
إِن,2inna,2inn,False,3,5,0-9,0-9,2
خَلِّيِّة,khaliyye,khaliyye,True,9,8,0-9,0-9,3
بَلْكَم,balkim,balkam,False,7,6,0-9,0-9,1
يِتقَزَّع,yitqkazza3,yitqkazza3,True,9,10,0-9,10-19,4
زَغَل,zaghal,zaghal,True,5,6,0-9,0-9,1
سقطت ورقه,saqtat waraqto,saqtat waraqto,True,9,14,0-9,10-19,3
حَجَر الدَّاس,7ajar 2idraas,7ajar 2idraas,True,13,13,10-19,10-19,5
مَلْوِن,mlawwan,mloonik,False,7,7,0-9,0-9,2
سَبِّت,sabt,sabt,True,6,4,0-9,0-9,2
لَّاف,laaf,laaf,True,5,4,0-9,0-9,5
قَرَاحَة,qkurraa7a,qkurraa7a,True,8,9,0-9,0-9,5
شَتِّل,shatal,shattil,False,6,6,0-9,0-9,2
يْرَكِّع,yrakki3,yirka3,False,8,7,0-9,0-9,5
إِدَّارِة,2idaara,2idaara,True,9,7,0-9,0-9,4
تَلْيَص,tlayyas,tlayyas,True,7,7,0-9,0-9,5
نَفِّس,nafas,naffis,False,6,5,0-9,0-9,3
مِتْقَنْدِر,mitqkandir,mitqkandir,True,11,10,10-19,10-19,1
حَجَر الأَسَاس,7ajar 2il2asaas,7ajar 2il2asaas,True,14,15,10-19,10-19,1
تْسَفَّط,tsaffat,tsaffat,True,8,7,0-9,0-9,1
اِنْتِكَاسِة,2intikaase,2intikaase,True,12,10,10-19,10-19,1
هَسّ,huss,hiss,False,4,4,0-9,0-9,2
يِتْوِب,ytuub,ytawwib,False,7,5,0-9,0-9,4
مُكَمْكَم,mkamkam,mkamkam,True,9,7,0-9,0-9,3
مْخَزِّي,mukhzi,mukhzi,True,8,6,0-9,0-9,3
تْسَخْمَط,tsakhmat,tsakhmat,True,9,8,0-9,0-9,1
البِزّ الكَذَاب,2ilbizz 2ilkazzaab,2ilbiz 2ilkazzaab,False,15,18,10-19,10-19,2
طِلِق,taliq,tallaq,False,5,5,0-9,0-9,5
إِقلِيم,2iqliim,2iqliim,True,7,7,0-9,0-9,5
اِنْتَقَى,2intaqa,2intaqa,True,9,7,0-9,0-9,1
بِيتْمَسْكَن ليِتْمَكَّن,byitmaskan layitmakkan,byitmaskan layitmakkan,True,24,22,20-29,20-29,1
أَبُو الهْمَاي,2abu 2ilhamaayim,2abu 2ilhamaayim,True,14,16,10-19,10-19,3
مْرَدَّف,mardif,mardaf,False,8,6,0-9,0-9,1
لَاطِة,laata,laata,True,6,5,0-9,0-9,3
عَشْرَة,3ishre,3ashara,False,7,6,0-9,0-9,3
خَدَر,khadar,khaddir,False,5,6,0-9,0-9,1
يتَفْعِل,yitfa33al,yitfa33al,True,8,9,0-9,0-9,4
رِهْبَانِي,rahbaani,rahbaani,True,10,8,10-19,0-9,2
رَجَم,rajim,rajam,False,5,5,0-9,0-9,1
بَيَّش,beesh,beesh,True,6,5,0-9,0-9,4
مَسْبَك,msabbak,msabbik,False,7,7,0-9,0-9,3
اِنْضَبِع,2indaba3,2indaba3,True,9,8,0-9,0-9,5
مَجَلِّة,majalle,majalle,True,8,7,0-9,0-9,3
حْزُون,7azwan,7azwin,False,6,6,0-9,0-9,1
اِتْكَلَّف,2itkaffal,2itkallaf,False,10,9,10-19,0-9,4
يتَجَرُّس,yitjarras,yitjarras,True,9,9,0-9,0-9,4
بَقْوَرَة,baqquura,baqquura,True,9,8,0-9,0-9,3
مُزْدَاغ,mizdaagh,mizdaagh,True,8,8,0-9,0-9,2
نَوح,nawwi7,nawwi7,True,4,6,0-9,0-9,4
عَطَبِة,3utbe,3utbe,True,7,5,0-9,0-9,1
نَايِم بَالعسَل,naayim bil3asal,naayim bil3asal,True,15,15,10-19,10-19,3
شِنْبِر,shumbur,shanbar,False,7,7,0-9,0-9,3
حَصْرِم,7usrum,7usrum,True,7,6,0-9,0-9,5
رِفَاهِيِّة,rafaahiyye,rafaahiyye,True,11,10,10-19,10-19,5
مُتَوَازِي أضلَاع,mutawaazi 2adlaa3,mutawaazi 2adlaa3,True,17,17,10-19,10-19,3
فَوَضِي,fawdawi,fawdawi,True,7,7,0-9,0-9,3
فُسْقُلِّة,fasqale,fasqale,True,10,7,10-19,0-9,3
يُزْفُت,yzaffit,yzaffit,True,7,7,0-9,0-9,5
اِتْعَصَّب,2itsa33ab,2itsa33ab,True,10,9,10-19,0-9,3
خَفَافِيش,khafaafiish,khafaafiish,True,9,11,0-9,10-19,1
صِنِم,sanam,sanam,True,5,5,0-9,0-9,5
اِنفَتَل رَاسي,2infatal raasi,2infatal raasi,True,14,14,10-19,10-19,5
فَاقِس,faaqis,faaqis,True,6,6,0-9,0-9,1
سْرُطُوم,sartuum,sartuum,True,8,7,0-9,0-9,3
مِكْسَورَة,maksuura,maksuura,True,10,8,10-19,0-9,5
حَنَطِي,7inti,7inti,True,7,5,0-9,0-9,4
دَام,daam,daam,True,4,4,0-9,0-9,1
تَبْرِيئ,tabrii2,tabrii2,True,8,7,0-9,0-9,1
البنت بتحلم بَالزَّفِّة وهي بَالَّفِّة,2ilbint bti7lam bizzaffe wuhii billaffe,2ilbinit bti7lam bizzaffe wuhii billaffe,False,38,39,30-39,30-39,3
تْبَخَّر,tbakhkhar,tbakhkhar,True,8,9,0-9,0-9,1
يِسْتَنِف,yistanfiz,yistanfir,False,9,9,0-9,0-9,3
حَاميهَا حَرَامِيهَا,7aamiiha 7aramiiha,7aamiiha 7aramiiha,True,20,18,20-29,10-19,4
مَدْلِف,mdallif,mdallif,True,7,7,0-9,0-9,4
شَجَّر,shajjar,shajjar,True,6,7,0-9,0-9,1
مجنون رمى حجر بَالبير بده مية عَاقل طلعه,majnuun rama 7ajar bilbiir biddo miit 3aaqil ytal3o,majnuun rama 7ajar bilbiir biddo miit 3aqil ytal3o,False,40,51,40-49,50-59,5
هُمَجِيِّة,hamajiyye,hamajiyye,True,10,9,10-19,0-9,4
يِعْجَق,yu3juq,yu3juq,True,7,6,0-9,0-9,5
هَجُومِي,hujuumi,hujuumi,True,8,7,0-9,0-9,2
يزيهد العيه,yziidha 3alee,yziidha 2ala3i,False,11,13,10-19,10-19,4
قَذَارَة,qazaara,qazaara,True,8,7,0-9,0-9,2
اِيتَم,2iitam,2iitam,True,6,6,0-9,0-9,1
يِتَحَاسَب,yit7aasab,yit7aasab,True,10,9,10-19,0-9,5
هَرَّس,haris,haras,False,6,5,0-9,0-9,2
تْصُوف,tsawwaf,tsawwaf,True,6,7,0-9,0-9,3
يطَمِّع,yitma3,ytammi3,False,7,6,0-9,0-9,2
يِنْلِخِم,yinlikhim,yinlikhim,True,9,9,0-9,0-9,1
بِيحلِّن عن حبل المَشَقَة,bi7illin 3an 7ablil mashnaqa,byi7lin 3an 7abilil mashshaqa,False,25,28,20-29,20-29,4
تَمْجِيد,mitjayyid,tamjiid,False,8,9,0-9,0-9,3
رُؤُوف,ra2uuf,ra2uuf,True,6,6,0-9,0-9,1
دِفِّي,difi,daffi,False,6,4,0-9,0-9,4
سِنَّايِف,sanaayif,sanaayif,True,9,8,0-9,0-9,5
حَثَل,7ithil,7ithl,False,5,6,0-9,0-9,1
أَغَانِي,2aghaani,2aghaani,True,8,8,0-9,0-9,1
قَاوَح,qaawi7,qaawa7,False,6,6,0-9,0-9,2
يَأْمِل,y2ammil,y2ammil,True,7,7,0-9,0-9,4
عَحَطّ إِيدَكِة,3a7attit 2iidak,3a7att 2iidak,False,15,15,10-19,10-19,3
لعى وسَع,la3alla wa3asa,la3ala wa3asa,False,8,14,0-9,10-19,2
يِكْشِك,ykashkish,ykashkish,True,7,9,0-9,0-9,3
لَوَّح,loo7,lawwi7,False,6,4,0-9,0-9,2
مُثَال,maasal,misaal,False,6,6,0-9,0-9,4
اِعْتَرَض,2i3tarad,2i3tirid,False,9,8,0-9,0-9,4
يِدْعَس,yid3as,yid3as,True,7,6,0-9,0-9,2
ذَاكِرَة سَمكِة,zaakirat samake,zaakirat samake,True,15,15,10-19,10-19,1
قَصِر,qassar,qassir,False,5,6,0-9,0-9,3
رُؤيَا,ru2ya,ru2ya,True,6,5,0-9,0-9,1
مَنْجِيع,minji3i,munjii3,False,8,7,0-9,0-9,1
حَوش الغَنَّم,7oosh 2ilghanam,7oosh 2ilghanam,True,13,15,10-19,10-19,3
اِنِفْجَار,2infijaar,2infijaar,True,10,9,10-19,0-9,3
مْجَلِّخ,mjallikh,mjallikh,True,8,8,0-9,0-9,1
مَا أوسع متك,maa 2awsa3 zimto,maa 2awsa3 mak,False,12,16,10-19,10-19,2
فِضَاوِة,fadaawe,fadaawe,True,8,7,0-9,0-9,5
مِعْتَاز,mi3taaz,mu3taaz,False,8,7,0-9,0-9,3
مْلَاحِق,mulaa7aq,malaa7iq,False,8,8,0-9,0-9,4
اِنْتِذِب,2intabadh,2intazab,False,9,9,0-9,0-9,4
يؤنِّذ,y2addin,y2addin,True,6,7,0-9,0-9,3
مْشَلْوِش,mashluush,mashluush,True,9,9,0-9,0-9,2
بَحَتِيِّة,ba7tiyye,ba7tiyye,True,10,8,10-19,0-9,5
سِبِع,sabbi3,sabbi3,True,5,6,0-9,0-9,5
دَقْمِس,dagmis,dagmis,True,7,6,0-9,0-9,3
سِتَّالِي,staayl,sataali,False,9,6,0-9,0-9,4
اِنْسَدِح,2insada7,2insada7,True,9,8,0-9,0-9,3
تَحَاسُب,t7aasab,t7aasab,True,8,7,0-9,0-9,4
بِفْتِة,bafte,bafte,True,7,5,0-9,0-9,3
حُبَّاس,7abbaas,7abbaas,True,7,7,0-9,0-9,3
نَطَق,nattiq,nattiq,True,5,6,0-9,0-9,1
يِصْيَغ,ysiigh,ysiigh,True,7,6,0-9,0-9,5
طَعِم,ta33im,ta33am,False,5,6,0-9,0-9,4
سْبُوتِة,sbuute,sbuute,True,8,6,0-9,0-9,1
رَوح بَلَا طِبِلِح,ruu7 ballit 2ilba7ar,ruu7 ballit 2ilba7at,False,18,20,10-19,20-29,1
زَرَر,zarrir,zarrir,True,5,6,0-9,0-9,3
يخَاصَم,ykhaasim,ykhaasim,True,7,8,0-9,0-9,3
مَبِيد حَشَرِي,mubiid 7ashari,mubiid 7ashari,True,14,14,10-19,10-19,4
بَكْبَكِة,bakbake,bakbake,True,9,7,0-9,0-9,1
نْعِيق,na3iiq,na3iiq,True,6,6,0-9,0-9,2
قَيَّد,qayyid,qayyad,False,6,6,0-9,0-9,2
يِحْمِم,y7ammim,y7ammim,True,7,7,0-9,0-9,2
عَامَم,3aamim,3aamim,True,6,6,0-9,0-9,2
شُرُوق,shuruuq,shruuq,False,6,7,0-9,0-9,3
يصَعِّى,yi3sa,yi3sa,True,7,5,0-9,0-9,4
يقَحِّط,yiq7at,yiq7at,True,7,6,0-9,0-9,3
يبَغْدِد,ybaghdid,ybaghdid,True,8,8,0-9,0-9,1
اِسْتَنِخ,2istansikh,2istansakh,False,9,10,0-9,10-19,3
يِفْرُج,yifrij,yifrij,True,7,6,0-9,0-9,4
مَنْسَوخ,mansuukh,mansuukh,True,8,8,0-9,0-9,4
اِتْوِفِّى,2itwaffa,2itwaffa,True,10,8,10-19,0-9,3
سَولَار,soolaar,soolaar,True,7,7,0-9,0-9,2
خَوَف,khawwif,khawwaf,False,5,7,0-9,0-9,5
اِتْلَاَشَى,2itlaasha,2itlaasha,True,11,9,10-19,0-9,2
قِدّ خُرُم الإِبْرِة,qadd khurm 2il2ibre,qadd khurum 2il2ibre,False,20,19,20-29,10-19,2
بَيضَا,beeda,beeda,True,6,5,0-9,0-9,1
يُحْشُر,y7ashshir,yu7shur,False,7,9,0-9,0-9,3
حَشَى,7ashsha,7asha,False,5,7,0-9,0-9,2
تَمَارِين,tamaariin,tamaariin,True,9,9,0-9,0-9,1
طَوَّر,tuur,tawwir,False,6,4,0-9,0-9,1
صَنَادِل,sanaadil,sanaadil,True,8,8,0-9,0-9,2
عَشِّب,3ashshab,3ashshib,False,6,8,0-9,0-9,2
نِبِع,naba3,naba3,True,5,5,0-9,0-9,5
مُقِيد,mqayyad,mqayyid,False,6,7,0-9,0-9,3
مْخْتَرِع,mikhtiri3,mukhtari3,False,9,9,0-9,0-9,4
يزَغْلِل,yzaghlil,yzaghlil,True,8,8,0-9,0-9,1
جَزِّز,jazzaz,jazziz,False,6,6,0-9,0-9,1
بَرْوَاز,birwaaz,birwaaz,True,8,7,0-9,0-9,1
اِلْتِفِخِم,2iltakham,2iltakham,True,11,9,10-19,0-9,5
قَزْعِر,quz3ur,quz3ur,True,7,6,0-9,0-9,4
زِاعِل,zaa3il,zaa3il,True,6,6,0-9,0-9,5
تَكَالُب,tkaalab,tkaalab,True,8,7,0-9,0-9,4
نَتْوَش,natwash,natwash,True,7,7,0-9,0-9,1
دُعُوس,da3was,da3wis,False,6,6,0-9,0-9,5
مْكَمْكَم,mkamkam,mkamkam,True,9,7,0-9,0-9,1
يِلْبِك,ylabbik,ylabbik,True,7,7,0-9,0-9,2
خَف,khiff,khaff,False,3,5,0-9,0-9,4
يُوزَان,ywaazin,ywazzaan,False,7,7,0-9,0-9,2
اِشَّعَط,2ish3at,2ish3at,True,8,7,0-9,0-9,5
يُنْطُز,yuntuz,yintuz,False,7,6,0-9,0-9,1
مَكَاتِيب,makaabiit,makaatiib,False,9,9,0-9,0-9,3
اِكْذَب,2ikzib,2ikzib2ikdhib,False,7,6,0-9,0-9,2
جَمِّة,madjdje,jumme,False,6,7,0-9,0-9,3
غَبَش,ghabbash,ghabbish,False,5,8,0-9,0-9,3
تَنَقِّيَاة,tinqaaye,tinqaaye,True,11,8,10-19,0-9,4
عَاجَل,3aajil,3aajil,True,6,6,0-9,0-9,3
خَدَعَة,khid3a,khud3a,False,7,6,0-9,0-9,3
أَلْوِف مْألِفِة,2uluuf m2allafe,2uluuf m2allafe,True,16,15,10-19,10-19,4
ينَوِّع,ynawwi3,ynawwi3,True,7,7,0-9,0-9,1
فَرَاكِي,faraayik,faraayik,True,8,8,0-9,0-9,1
يرَفِّه,yraffih,yraffih,True,7,7,0-9,0-9,2
تَقْلِد خطيتهَا,tqallad khatiyyitha,tqallad khatiyyitha,True,15,19,10-19,10-19,2
اِلْتِقِي,2iltiqi,2iltiqi,True,9,7,0-9,0-9,1
اِفْرُم,2ufrum,2ufrum,True,7,6,0-9,0-9,4
تْمَشْطَح,mitsha7tit,tmashta7,False,9,10,0-9,10-19,4
تَخَجْلِي,takhjiil,takhjiil,True,9,8,0-9,0-9,5
تَقْطَب,tqattab,tqattab,True,7,7,0-9,0-9,4
حَلَاوَة,7alaawa,7laawa,False,8,7,0-9,0-9,4
مِلِس,milis,mallis,False,5,5,0-9,0-9,4
اِنْلِدِغ,2inlidigh,2inladagh,False,9,9,0-9,0-9,2
اِتَعْبَد,2it3abbad,2it3abbad,True,9,9,0-9,0-9,5
اِلْهِج,2ilhaj,2ilhaj,True,7,6,0-9,0-9,2
يِنْكَسِر,yinkisir,yinkisir,True,9,8,0-9,0-9,3
يِدَّوِخ,yduukh,ydawwikh,False,8,6,0-9,0-9,5
جُرْجَايِح,djaraadjii7,djaraadjii7,True,10,11,10-19,10-19,5
الإِموضُوع فيه إِنّ,2ilmawduu3 fii 2inna,2il2imm wu3afi 2inna,False,19,20,10-19,20-29,4
كَاتِب,kaatib,kaatib,True,6,6,0-9,0-9,1
مُقَاس,maqaas,maqaas,True,6,6,0-9,0-9,3
صِيَاعَة,sayaa3a,siyaa3a,False,8,7,0-9,0-9,2
يعِيد,y3iid,y3iid,True,5,5,0-9,0-9,2
مِتْعَاطِى,mit3aati,muta3aati,False,10,8,10-19,0-9,3
صَفْعَا,fas3a,fas3a,True,7,5,0-9,0-9,1
طَيب,tayyab,tiib,False,4,6,0-9,0-9,4
يِبْحِص,yba7bis,yib7as,False,7,7,0-9,0-9,4
حَاكْرُورَة,7aakuura,7aakuura,True,11,8,10-19,0-9,3
زَلِّع,zala3,zala3,True,6,5,0-9,0-9,3
سِفْرِيجِة,sufrajiyye,sufrajiyye,True,10,10,10-19,10-19,4
أَنْفِس,2anfus,2anfus,True,7,6,0-9,0-9,4
يحَوِّد,ywa77id,y7awwid,False,7,7,0-9,0-9,5
إِرْهَابِي,2irhaabi,2irhaabi,True,10,8,10-19,0-9,2
لو جُحَا بَدَّاد بَدَّاد كَان بلهُدَّادُّه,law ju7a baddaad kaan baddad biblaado,law ju7a baddaad kaan badd blaado,False,42,37,40-49,30-39,5
مْشَطْشِطّ,mshatshit,mshatshit,True,10,9,10-19,0-9,3
يدُجّ,ydijj,ydijj,True,5,5,0-9,0-9,3
يِتْكَتَّل,yitkattal,yitkattal,True,10,9,10-19,0-9,1
مُعْجَن,m3ajjin,m3ajjin,True,7,7,0-9,0-9,4
سَابَع,saabi3,saabi3,True,6,6,0-9,0-9,3
شَبَّابي,shabaabi,shabaabi,True,8,8,0-9,0-9,4
يُنْشُد,yinshadd,yinshadd,True,7,8,0-9,0-9,4
مَشْلَط,mshallit,mshallit,True,7,8,0-9,0-9,3
نكشة رَاس,nakshit raas,nakshit raas,True,9,12,0-9,10-19,1
يِنْبِخِع,yinibkhi3,yinbikhi3,False,9,9,0-9,0-9,1
صَحَح,sa7sa7,sa77a7,False,5,6,0-9,0-9,5
يُجْسُر,yjassir,yjassir,True,7,7,0-9,0-9,5
مَعْرِفِة,ma3rife,ma3rafe,False,9,7,0-9,0-9,1
هَادَف,haadif,haadif,True,6,6,0-9,0-9,2
دُلْدُل,daldal,daldal,True,7,6,0-9,0-9,5
طَفَايِر,fataayir,tafaayir,False,8,8,0-9,0-9,3
قَفَى,qaffa,qafa,False,5,5,0-9,0-9,2
لعِب الزِّهِر,li3ib 2izzahir,li3ib 2izzahir,True,13,14,10-19,10-19,5
طَرِّد,tarrid,tarrad,False,6,6,0-9,0-9,3
اِلْزَمّ,2ilzim,2ilzim,True,8,6,0-9,0-9,4
تَقَنِّيِّة,taqniya,taqniya,True,11,7,10-19,0-9,4
جَزّ,jazza2,jazz,False,4,6,0-9,0-9,3
اِدِّعِك,2id3ak,2id3ak,True,8,6,0-9,0-9,5
مُتَرَنِّخ,mtarkhin,mtarkhin,True,10,8,10-19,0-9,2
تَعَجُّل,t3ajjal,t3ajjal,True,8,7,0-9,0-9,2
تْرَاوَيح,taraawii7,taraawii7,True,9,9,0-9,0-9,2
رَقَم,raqqim,raqqam,False,5,6,0-9,0-9,1
ضَرِّط,darrit,darrit,True,6,6,0-9,0-9,3
لَبَنِة المُجْتَع,labanit 2ilmujtama3,labanit 2ilmujtama3,True,17,19,10-19,10-19,5
قَرَص,qarris,qarris,True,5,6,0-9,0-9,1
وَالحِب الرُّجُر,wil7abil jarraar,wil7abil jarraar,True,16,16,10-19,10-19,5
قُتُب,qattib,qattab,False,5,6,0-9,0-9,4
قُرْصَة,qarse,qarsa,False,7,5,0-9,0-9,4
يِذْهِب,ydahhib,yizhab,False,7,7,0-9,0-9,5
عَرْسِة,3irse,3irse,True,7,5,0-9,0-9,1
نَخَل,nakhkhil,nakhkhil,True,5,8,0-9,0-9,2
فَرْكِش,farkash,farkash,True,7,7,0-9,0-9,3
اِسْتَلْطَخ,2istaltakh,2istaltikh,False,11,10,10-19,10-19,1
أَغَنْيِة,2ughniyye,2ughniyye,True,9,9,0-9,0-9,4
دِهِك,dahak,dahak,True,5,5,0-9,0-9,5
بيطَلْعَلُه,byitla3lo,bitala3o,False,11,9,10-19,0-9,4
غَول,ghuul,ghawwil,False,4,5,0-9,0-9,2
بَشَاكِير,bashaakiir,bashaakiir,True,9,10,0-9,10-19,1
اِهْبِي,2ihbi,2ihbi,True,7,5,0-9,0-9,1
حَبْلَق,7ablaq,7abliq,False,7,6,0-9,0-9,1
بَرْبَش,barbish,barbash,False,7,7,0-9,0-9,2
تَفَلِّيل,tafliil,tafliil,True,9,7,0-9,0-9,2
يِنِحِنِي,yin7ani,yin7ini,False,9,7,0-9,0-9,5
تْهَمَّيش,tahmiish,tahmiish,True,9,8,0-9,0-9,2
دُقّ رَاسَك بَالحيط,duqq raasak bil7eet,duqq raasak bil7eet,True,19,19,10-19,10-19,4
مُنْتَحِل,minti7il,munta7il,False,9,8,0-9,0-9,3
لِعْيَان,la3ayaan,la3ayaan,True,8,8,0-9,0-9,4
حِلَاشِة,7laashe,7laashe,True,8,7,0-9,0-9,4
أَجِّز,2ajjiz,2ajjaz,False,6,6,0-9,0-9,2
يَرْدِل,yrandil,yraddil,False,7,7,0-9,0-9,5
اِتْخَلَّص,2itlakhkhas,2itkhallas,False,10,11,10-19,10-19,4
مْجَرْقِج,mdjardjik,mdjardjik,True,9,9,0-9,0-9,5
يذَوِّخ,yookhidh,ywadhdhikh,False,7,8,0-9,0-9,4
اِسْتَبْطَئ,2istabti2,2istabti2,True,11,9,10-19,0-9,3
عَوَق,3awwiq,3awwaq,False,5,6,0-9,0-9,5
مُعَسْقِد,m3asqkid,m3asqkid,True,9,8,0-9,0-9,3
تَبَرْوُز,tbarwaz,tbarwaz,True,9,7,0-9,0-9,3
مْكَرَّم,mikrim,mkarram,False,8,6,0-9,0-9,1
حِشِّي,7ashi,7ashshi,False,6,5,0-9,0-9,4
مْجَلِّس,majlis,mjallis,False,8,6,0-9,0-9,1
ظَلِّل,zallil,zallil,True,6,6,0-9,0-9,1
يُؤدِّب,y2addib,y2addib,True,7,7,0-9,0-9,2
قَزِّز,qazzaz,qazziz,False,6,6,0-9,0-9,1
يِحْنَط,y7annit,y7annit,True,7,7,0-9,0-9,2
بَوّ يِنْفَخَّك بَطَن,baww yunfukh batnak,baww yunfukh batnak,True,21,19,20-29,10-19,3
يِتْجَدَّل,yitjallad,yitjallad,True,10,9,10-19,0-9,3
وَطِي,watti,watti,True,5,5,0-9,0-9,1
كَرْكِيم,kurkumi,kurkumi,True,8,7,0-9,0-9,4
شْنَاط,shnaat,shnaat,True,6,6,0-9,0-9,2
شَلْوَط,shalwat,shalwit,False,7,7,0-9,0-9,3
بِذْمِتِك,bzimtak,bzimtak,True,9,7,0-9,0-9,2
اِحْتَقِر,2i7taqar,2i7taqir,False,9,8,0-9,0-9,3
بِقِّي,biqi,biqi,True,6,4,0-9,0-9,4
توَتّد,twattad,twattad,True,6,7,0-9,0-9,5
عَلَى مآقل علَاه,3allaq 2amaalo 3ala,3allaq 2amaalo 3ala,True,16,19,10-19,10-19,2
وِجِه هَاقفَش,wijho faaqish,wijho faaqish,True,13,13,10-19,10-19,3
أَدَب,2adab,2addab,False,5,5,0-9,0-9,1
رَقُودِة,rquude,rquude,True,8,6,0-9,0-9,5
إِمّ قْوَيقِي,2im 2wee2i,2imm 2wee2i,False,13,10,10-19,10-19,1
يحَوِّل,ya7uul,y7awwil,False,7,6,0-9,0-9,2
مِشْطَع مُظ,mushut 3adim,misht 3adim,False,11,12,10-19,10-19,5
زِمّ,mazz,zimm,False,4,4,0-9,0-9,4
يِلَقِّح,ylaqqi7,ylaqqi7,True,8,7,0-9,0-9,5
يخَشِّط,yikhshut,yikhshut,True,7,8,0-9,0-9,2
اِتْنَجَس,2itnajjas,2itjannas,False,9,9,0-9,0-9,5
اِنْلِحِم,2inli7im,2inla7am,False,9,8,0-9,0-9,2
يِنْغِلِب,yinghilib,yinghilib,True,9,9,0-9,0-9,1
شُخّ,shukhkh,shukhkh,True,4,7,0-9,0-9,3
نَكَّت,nukat,nakkit,False,6,5,0-9,0-9,2
يسَتِّر,ysattir,ysattir,True,7,7,0-9,0-9,1
عَامل السَّبْعَة وذَامتُه,3aamil 2issab3aw zimmitha,3aamil 2issab3a wuzimmitha,False,25,25,20-29,20-29,5
هَنَّابِة,hnaabe,hnaabe,True,9,6,0-9,0-9,3
يجَوِّز,yuujiz,yjawwiz,False,7,6,0-9,0-9,1
كِتِب,katab,kattab,False,5,5,0-9,0-9,5
يِتْسَافَل,yitsaafal,yitsaafal,True,10,9,10-19,0-9,1
يُنْفُق,ynaffiq,yinfiq,False,7,7,0-9,0-9,2
فْتُوش,fattuush,fattuush,True,6,8,0-9,0-9,3
زْمُورِة الحلق,zammuurit 2il7alq,zammuurit 2il7alq,True,14,17,10-19,10-19,5
فَشْفَش,fashfash,fashfish,False,7,8,0-9,0-9,4
أَصْيِل,2asli,2asli,True,7,5,0-9,0-9,5
اُصْدُف,saadaf,2usduf,False,7,6,0-9,0-9,3
عَلْمَا,3alma,3alma,True,7,5,0-9,0-9,1
يِطْمَع,yitma3,yitma3,True,7,6,0-9,0-9,4
كَحَت,ka77at,ka77it,False,5,6,0-9,0-9,3
أُخْت رْجَال,2ukht rjaal,2ukht rjaal,True,12,11,10-19,10-19,1
ضَعّ,da3,da33,False,4,3,0-9,0-9,1
خَيَّس,khayyis,khayyas,False,6,7,0-9,0-9,3
نَجِر,najjir,najjar,False,5,6,0-9,0-9,4
حتَى النُّخَاع,7atta 2innukhaa3,7atta 2innukhaa3,True,14,16,10-19,10-19,4
تُقْصِيعَة,taqsii3a,taqsii3a,True,10,8,10-19,0-9,5
اِجْتَلَط,2itjallat,2itjallat,True,9,9,0-9,0-9,5
جَلِق,jalaqk,djallik,False,5,6,0-9,0-9,5
يِتْمَهْمَط,yitmahmat,yitmahmat,True,11,9,10-19,0-9,1
مَدْبُوح,mdoobi7,mdoobi7,True,8,7,0-9,0-9,3
اِنْوِضِع,2inwada3,2inwada3,True,9,8,0-9,0-9,2
مَكَاوِر,mkaawir,mkaawir,True,8,7,0-9,0-9,1
زَعْوَق,za3wiqk,za3waqk,False,7,7,0-9,0-9,1
